"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",8,22,23,28,23,19,2.75,2.875,3.5,2.875,2.375
"2","LOC111099033",36,40,42,42,21,29,1.11111111111111,1.16666666666667,1.16666666666667,0.583333333333333,0.805555555555556
"3","LOC111099034",32,12,27,80,NA,NA,0.375,0.84375,2.5,NA,NA
"4","LOC111099035",16,13,13,12,10,5,0.8125,0.8125,0.75,0.625,0.3125
"5","LOC111099036",17.5,9,34,5,141,23,0.514285714285714,1.94285714285714,0.285714285714286,8.05714285714286,1.31428571428571
"6","LOC111099040",72.48,16,24,11.88,9.56,8.76,0.22075055187638,0.33112582781457,0.163907284768212,0.131898454746137,0.120860927152318
"7","LOC111099041",40.5,63,45,115,54,48,1.55555555555556,1.11111111111111,2.83950617283951,1.33333333333333,1.18518518518519
"8","LOC111099043",113,260.5,187,92.5,179.5,271,2.30530973451327,1.65486725663717,0.81858407079646,1.58849557522124,2.39823008849558
"9","LOC111099044",52,55,95,NA,NA,NA,1.05769230769231,1.82692307692308,NA,NA,NA
"10","LOC111099045",15,9,49,34,23,31,0.6,3.26666666666667,2.26666666666667,1.53333333333333,2.06666666666667
"11","LOC111099047",18.5714285714286,10.4285714285714,38,32.4285714285714,53.8571428571429,37.1428571428571,0.561538461538462,2.04615384615385,1.74615384615385,2.9,2
"12","LOC111099048",53,16,11,35,NA,NA,0.30188679245283,0.207547169811321,0.660377358490566,NA,NA
"13","LOC111099050",24,24,45,23,43,12,1,1.875,0.958333333333333,1.79166666666667,0.5
"14","LOC111099051",50,42,NA,NA,NA,NA,0.84,NA,NA,NA,NA
"15","LOC111099052",50,37,101,51,85,NA,0.74,2.02,1.02,1.7,NA
"16","LOC111099053",19,27,19,31,27,41,1.42105263157895,1,1.63157894736842,1.42105263157895,2.15789473684211
"17","LOC111099056",8.66666666666667,49,18,15,9,16,5.65384615384615,2.07692307692308,1.73076923076923,1.03846153846154,1.84615384615385
"18","LOC111099060",7,6,14,46,34,57,0.857142857142857,2,6.57142857142857,4.85714285714286,8.14285714285714
"19","LOC111099062",23,32,37,28,22,8,1.39130434782609,1.60869565217391,1.21739130434783,0.956521739130435,0.347826086956522
"20","LOC111099063",17,29,20,15,18,20,1.70588235294118,1.17647058823529,0.882352941176471,1.05882352941176,1.17647058823529
"21","LOC111099064",34,21,32,27,39,52,0.617647058823529,0.941176470588235,0.794117647058823,1.14705882352941,1.52941176470588
"22","LOC111099065",84.5,93,90,215,44,364,1.10059171597633,1.06508875739645,2.54437869822485,0.520710059171598,4.30769230769231
"23","LOC111099067",12,31,14,35,73,12,2.58333333333333,1.16666666666667,2.91666666666667,6.08333333333333,1
"24","LOC111099068",14,115,20,37,41.5,NA,8.21428571428571,1.42857142857143,2.64285714285714,2.96428571428571,NA
"25","LOC111099069",36,33,53,33,57,19,0.916666666666667,1.47222222222222,0.916666666666667,1.58333333333333,0.527777777777778
"26","LOC111099070",26.2,93,92,23,26,8,3.54961832061069,3.51145038167939,0.877862595419847,0.99236641221374,0.305343511450382
"27","LOC111099071",9,32,39,58,NA,NA,3.55555555555556,4.33333333333333,6.44444444444444,NA,NA
"28","LOC111099073",29,35,53,29,52,13,1.20689655172414,1.82758620689655,1,1.79310344827586,0.448275862068966
"29","LOC111099076",31,37,28,22,89,NA,1.19354838709677,0.903225806451613,0.709677419354839,2.87096774193548,NA
"30","LOC111099079",83,107,130,85,82,144,1.28915662650602,1.56626506024096,1.02409638554217,0.987951807228916,1.73493975903614
"31","LOC111099080",12,78,27,26,73,20,6.5,2.25,2.16666666666667,6.08333333333333,1.66666666666667
"32","LOC111099081",32,44,52,87,NA,NA,1.375,1.625,2.71875,NA,NA
"33","LOC111099082",480,321,79,NA,NA,NA,0.66875,0.164583333333333,NA,NA,NA
"34","LOC111099083",210,31,201,NA,NA,NA,0.147619047619048,0.957142857142857,NA,NA,NA
"35","LOC111099088",3,155,83,39,NA,NA,51.6666666666667,27.6666666666667,13,NA,NA
"36","LOC111099091",63,10,17,26,19,30,0.158730158730159,0.26984126984127,0.412698412698413,0.301587301587302,0.476190476190476
"37","LOC111099092",38,32,37,29,49,46,0.842105263157895,0.973684210526316,0.763157894736842,1.28947368421053,1.21052631578947
"38","LOC111099093",40,89,65,46,72,59,2.225,1.625,1.15,1.8,1.475
"39","LOC111099095",49,39,66,23,45,64,0.795918367346939,1.3469387755102,0.469387755102041,0.918367346938776,1.30612244897959
"40","LOC111099097",13,38,6,12,6,6,2.92307692307692,0.461538461538462,0.923076923076923,0.461538461538462,0.461538461538462
"41","LOC111099098",16,155,NA,NA,NA,NA,9.6875,NA,NA,NA,NA
"42","LOC111099101",40,10,21,10,33,27,0.25,0.525,0.25,0.825,0.675
"43","LOC111099102",27,9,10,45,116,56,0.333333333333333,0.37037037037037,1.66666666666667,4.2962962962963,2.07407407407407
"44","LOC111099104",15,207,62,34,12,36,13.8,4.13333333333333,2.26666666666667,0.8,2.4
"45","LOC111099105",19,11,11,29,19,28,0.578947368421053,0.578947368421053,1.52631578947368,1,1.47368421052632
"46","LOC111099106",24,26.5,82.5,129,NA,NA,1.10416666666667,3.4375,5.375,NA,NA
"47","LOC111099108",107,251,NA,NA,NA,NA,2.34579439252336,NA,NA,NA,NA
"48","LOC111099109",16,23,48,55,NA,NA,1.4375,3,3.4375,NA,NA
"49","LOC111099110",49,13,71,NA,NA,NA,0.26530612244898,1.44897959183673,NA,NA,NA
"50","LOC111099111",153,30,72,NA,NA,NA,0.196078431372549,0.470588235294118,NA,NA,NA
"51","LOC111099112",11,144,29,33,20,13,13.0909090909091,2.63636363636364,3,1.81818181818182,1.18181818181818
"52","LOC111099114",23,165,NA,NA,NA,NA,7.17391304347826,NA,NA,NA,NA
"53","LOC111099115",27,37,35,13,17,22,1.37037037037037,1.2962962962963,0.481481481481481,0.62962962962963,0.814814814814815
"54","LOC111099118",9,30,40,16,75,NA,3.33333333333333,4.44444444444444,1.77777777777778,8.33333333333333,NA
"55","LOC111099119",77,6,56,NA,NA,NA,0.0779220779220779,0.727272727272727,NA,NA,NA
"56","LOC111099120",118,67,77,NA,NA,NA,0.567796610169492,0.652542372881356,NA,NA,NA
"57","LOC111099122",38,13,15,5,22,11,0.342105263157895,0.394736842105263,0.131578947368421,0.578947368421053,0.289473684210526
"58","LOC111099123",5,40,12,9,36,21,8,2.4,1.8,7.2,4.2
"59","LOC111099125",33.2,18,20,6,22,43,0.542168674698795,0.602409638554217,0.180722891566265,0.662650602409638,1.29518072289157
"60","LOC111099127",36.6666666666667,77,221.5,NA,NA,NA,2.1,6.04090909090909,NA,NA,NA
"61","LOC111099131",48,48,48,48,48,59,1,1,1,1,1.22916666666667
"62","LOC111099132",190,109,56,NA,NA,NA,0.573684210526316,0.294736842105263,NA,NA,NA
"63","LOC111099135",102,55.5,56.75,65,58,NA,0.544117647058823,0.556372549019608,0.637254901960784,0.568627450980392,NA
"64","LOC111099136",252,161,97,209,NA,NA,0.638888888888889,0.384920634920635,0.829365079365079,NA,NA
"65","LOC111099138",86,24,26,127,NA,NA,0.27906976744186,0.302325581395349,1.47674418604651,NA,NA
"66","LOC111099140",18,14,15,28,14,14,0.777777777777778,0.833333333333333,1.55555555555556,0.777777777777778,0.777777777777778
"67","LOC111099143",401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LOC111099145",10,184,30.6666666666667,43,84,40,18.4,3.06666666666667,4.3,8.4,4
"69","LOC111099147",14,21,19,14,19,23,1.5,1.35714285714286,1,1.35714285714286,1.64285714285714
"70","LOC111099151",187,42,24,35,17,25.5,0.224598930481283,0.128342245989305,0.18716577540107,0.0909090909090909,0.136363636363636
"71","LOC111099152",27,35.5,29.5,34.5,41,28,1.31481481481481,1.09259259259259,1.27777777777778,1.51851851851852,1.03703703703704
"72","LOC111099153",15,66,16,8,16,12,4.4,1.06666666666667,0.533333333333333,1.06666666666667,0.8
"73","LOC111099155",11,29,52,67,18,34,2.63636363636364,4.72727272727273,6.09090909090909,1.63636363636364,3.09090909090909
"74","LOC111099156",37,44,47,67,36,44,1.18918918918919,1.27027027027027,1.81081081081081,0.972972972972973,1.18918918918919
"75","LOC111099157",83,66.4444444444444,54.3333333333333,59.6666666666667,35.5,48.7777777777778,0.80053547523427,0.654618473895582,0.718875502008032,0.427710843373494,0.58768406961178
"76","LOC111099158",125,15,158,NA,NA,NA,0.12,1.264,NA,NA,NA
"77","LOC111099161",43,36,39,35,36,34,0.837209302325581,0.906976744186046,0.813953488372093,0.837209302325581,0.790697674418605
"78","LOC111099162",45,44,45,49,42,NA,0.977777777777778,1,1.08888888888889,0.933333333333333,NA
"79","LOC111099168",5,16,27,16,22,11,3.2,5.4,3.2,4.4,2.2
"80","LOC111099169",6,14,24,25,21,9,2.33333333333333,4,4.16666666666667,3.5,1.5
"81","LOC111099171",51.6,184,NA,NA,NA,NA,3.56589147286822,NA,NA,NA,NA
"82","LOC111099172",44,50,37,27,55,38,1.13636363636364,0.840909090909091,0.613636363636364,1.25,0.863636363636364
"83","LOC111099174",4,2,12,32,9,13,0.5,3,8,2.25,3.25
"84","LOC111099175",107,36,41,55,52,53,0.336448598130841,0.383177570093458,0.514018691588785,0.485981308411215,0.495327102803738
"85","LOC111099176",27,15,33,40,20,50,0.555555555555556,1.22222222222222,1.48148148148148,0.740740740740741,1.85185185185185
"86","LOC111099180",11,10,17,6,3,18,0.909090909090909,1.54545454545455,0.545454545454545,0.272727272727273,1.63636363636364
"87","LOC111099182",70,27,23,53,28,52,0.385714285714286,0.328571428571429,0.757142857142857,0.4,0.742857142857143
"88","LOC111099183",23,48,63,38,178,NA,2.08695652173913,2.73913043478261,1.65217391304348,7.73913043478261,NA
"89","LOC111099184",68,43,287,NA,NA,NA,0.632352941176471,4.22058823529412,NA,NA,NA
"90","LOC111099186",57,58,32,53,173,111,1.01754385964912,0.56140350877193,0.929824561403509,3.03508771929825,1.94736842105263
"91","LOC111099187",41,43,14,NA,NA,NA,1.04878048780488,0.341463414634146,NA,NA,NA
"92","LOC111099189",48,51,99,NA,NA,NA,1.0625,2.0625,NA,NA,NA
"93","LOC111099192",21,15,119,12,12,12,0.714285714285714,5.66666666666667,0.571428571428571,0.571428571428571,0.571428571428571
"94","LOC111099193",318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","LOC111099194",18.85,43.3,12.3,45.05,205.9,24.8,2.29708222811671,0.652519893899204,2.38992042440318,10.9230769230769,1.31564986737401
"96","LOC111099196",22.3333333333333,20.3333333333333,44.6666666666667,53.6666666666667,33.1666666666667,57.3333333333333,0.91044776119403,2,2.40298507462687,1.48507462686567,2.56716417910448
"97","LOC111099197",4,5,19,4,9,7,1.25,4.75,1,2.25,1.75
"98","LOC111099200",26,35,24,31,23,49,1.34615384615385,0.923076923076923,1.19230769230769,0.884615384615385,1.88461538461538
"99","LOC111099201",159,275,NA,NA,NA,NA,1.72955974842767,NA,NA,NA,NA
"100","LOC111099202",209,181,40,60,76,294,0.866028708133971,0.191387559808612,0.287081339712919,0.363636363636364,1.4066985645933
"101","LOC111099203",58,30,24,21,23,19,0.517241379310345,0.413793103448276,0.362068965517241,0.396551724137931,0.327586206896552
"102","LOC111099206",38,27.75,16.75,17.5,20.25,19.5,0.730263157894737,0.440789473684211,0.460526315789474,0.532894736842105,0.513157894736842
"103","LOC111099209",56,58,57,289,NA,NA,1.03571428571429,1.01785714285714,5.16071428571429,NA,NA
"104","LOC111099210",18,19,9,16,17,21,1.05555555555556,0.5,0.888888888888889,0.944444444444444,1.16666666666667
"105","LOC111099211",27,23,10,56,11,16,0.851851851851852,0.37037037037037,2.07407407407407,0.407407407407407,0.592592592592593
"106","LOC111099212",15,22,55,15,22,27,1.46666666666667,3.66666666666667,1,1.46666666666667,1.8
"107","LOC111099214",14,12,8,28,13,50,0.857142857142857,0.571428571428571,2,0.928571428571429,3.57142857142857
"108","LOC111099215",20,13,21,35,41,NA,0.65,1.05,1.75,2.05,NA
"109","LOC111099216",51,52,31,48,16,29,1.01960784313725,0.607843137254902,0.941176470588235,0.313725490196078,0.568627450980392
"110","LOC111099217",92,100,108,93,109,265,1.08695652173913,1.17391304347826,1.01086956521739,1.18478260869565,2.8804347826087
"111","LOC111099218",78,146,48,34,135,223,1.87179487179487,0.615384615384615,0.435897435897436,1.73076923076923,2.85897435897436
"112","LOC111099219",33,26,13,35,22,36,0.787878787878788,0.393939393939394,1.06060606060606,0.666666666666667,1.09090909090909
"113","LOC111099220",38,30,42,28,25,31,0.789473684210526,1.10526315789474,0.736842105263158,0.657894736842105,0.815789473684211
"114","LOC111099221",60,30,30,55,34,17,0.5,0.5,0.916666666666667,0.566666666666667,0.283333333333333
"115","LOC111099222",23,13,27.6666666666667,41,21.6666666666667,25.6666666666667,0.565217391304348,1.20289855072464,1.78260869565217,0.942028985507246,1.11594202898551
"116","LOC111099225",289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LOC111099226",11,26,52,11,4,6,2.36363636363636,4.72727272727273,1,0.363636363636364,0.545454545454545
"118","LOC111099227",13,24.6666666666667,17,23.3333333333333,22.6666666666667,20,1.8974358974359,1.30769230769231,1.79487179487179,1.74358974358974,1.53846153846154
"119","LOC111099300",17,33,80,27,15,22,1.94117647058824,4.70588235294118,1.58823529411765,0.882352941176471,1.29411764705882
"120","LOC111099316",31,32,35,39,34,37,1.03225806451613,1.12903225806452,1.25806451612903,1.09677419354839,1.19354838709677
"121","LOC111099327",21,30,39,13,76,NA,1.42857142857143,1.85714285714286,0.619047619047619,3.61904761904762,NA
"122","LOC111099343",21,27,13,18,18,43,1.28571428571429,0.619047619047619,0.857142857142857,0.857142857142857,2.04761904761905
"123","LOC111099359",24,46,142,35,24,22,1.91666666666667,5.91666666666667,1.45833333333333,1,0.916666666666667
"124","LOC111099375",12,51.6666666666667,119,NA,NA,NA,4.30555555555556,9.91666666666667,NA,NA,NA
"125","LOC111099408",54,20,44,NA,NA,NA,0.37037037037037,0.814814814814815,NA,NA,NA
"126","LOC111099410",62,29,72,34,13,14,0.467741935483871,1.16129032258065,0.548387096774194,0.209677419354839,0.225806451612903
"127","LOC111099416",122,25,410,NA,NA,NA,0.204918032786885,3.36065573770492,NA,NA,NA
"128","LOC111099417",19,20,21,21,21,NA,1.05263157894737,1.10526315789474,1.10526315789474,1.10526315789474,NA
"129","LOC111099418",81,2634,NA,NA,NA,NA,32.5185185185185,NA,NA,NA,NA
"130","LOC111099420",26,78,15,18,20,17,3,0.576923076923077,0.692307692307692,0.769230769230769,0.653846153846154
"131","LOC111099424",47,31,28,24,8,14,0.659574468085106,0.595744680851064,0.51063829787234,0.170212765957447,0.297872340425532
"132","LOC111099426",33.3333333333333,35,59,59,44,33,1.05,1.77,1.77,1.32,0.99
"133","LOC111099427",66,41,56,36,32,32.5,0.621212121212121,0.848484848484849,0.545454545454545,0.484848484848485,0.492424242424242
"134","LOC111099428",83,54,290,NA,NA,NA,0.650602409638554,3.49397590361446,NA,NA,NA
"135","LOC111099429",12,40,211,NA,NA,NA,3.33333333333333,17.5833333333333,NA,NA,NA
"136","LOC111099437",33,309,NA,NA,NA,NA,9.36363636363636,NA,NA,NA,NA
"137","LOC111099440",70,19,132,NA,NA,NA,0.271428571428571,1.88571428571429,NA,NA,NA
"138","LOC111099442",27,12,18,22,38,18,0.444444444444444,0.666666666666667,0.814814814814815,1.40740740740741,0.666666666666667
"139","LOC111099443",45.5,45,32,27,29.5,37.5,0.989010989010989,0.703296703296703,0.593406593406593,0.648351648351648,0.824175824175824
"140","LOC111099446",50,33,16,17,23,34,0.66,0.32,0.34,0.46,0.68
"141","LOC111099450",98.6666666666667,416.666666666667,NA,NA,NA,NA,4.22297297297297,NA,NA,NA,NA
"142","LOC111099454",51,76,64,62,43,33,1.49019607843137,1.25490196078431,1.2156862745098,0.843137254901961,0.647058823529412
"143","LOC111099457",311.363636363636,23.4545454545455,24.0909090909091,11.8181818181818,18.3636363636364,25.1818181818182,0.0753284671532847,0.0773722627737226,0.037956204379562,0.058978102189781,0.0808759124087591
"144","LOC111099458",9,40,40,60,348.5,47,4.44444444444444,4.44444444444444,6.66666666666667,38.7222222222222,5.22222222222222
"145","LOC111099459",25.5,139.5,NA,NA,NA,NA,5.47058823529412,NA,NA,NA,NA
"146","LOC111099460",16,37,47,426,NA,NA,2.3125,2.9375,26.625,NA,NA
"147","LOC111099461",64,18,30,13,24,27,0.28125,0.46875,0.203125,0.375,0.421875
"148","LOC111099467",30.5,11,46.5,NA,NA,NA,0.360655737704918,1.52459016393443,NA,NA,NA
"149","LOC111099469",1531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","LOC111099470",13,306,NA,NA,NA,NA,23.5384615384615,NA,NA,NA,NA
"151","LOC111099471",20,21,19,31,61,19,1.05,0.95,1.55,3.05,0.95
"152","LOC111099474",24,17,39,16,21,17,0.708333333333333,1.625,0.666666666666667,0.875,0.708333333333333
"153","LOC111099476",34,190,29,40,139,NA,5.58823529411765,0.852941176470588,1.17647058823529,4.08823529411765,NA
"154","LOC111099477",56,44,43,34,17,15,0.785714285714286,0.767857142857143,0.607142857142857,0.303571428571429,0.267857142857143
"155","LOC111099478",37,17,26,11,59,17,0.459459459459459,0.702702702702703,0.297297297297297,1.59459459459459,0.459459459459459
"156","LOC111099479",24,36,24,38,NA,NA,1.5,1,1.58333333333333,NA,NA
"157","LOC111099481",31.75,38,167,NA,NA,NA,1.19685039370079,5.25984251968504,NA,NA,NA
"158","LOC111099483",96.25,34.25,33.25,48,30.25,34.25,0.355844155844156,0.345454545454545,0.498701298701299,0.314285714285714,0.355844155844156
"159","LOC111099484",0,3,3,5,3,12,NA,NA,NA,NA,NA
"160","LOC111099487",121,6,56,NA,NA,NA,0.0495867768595041,0.462809917355372,NA,NA,NA
"161","LOC111099489",31,32,7,19,4,4,1.03225806451613,0.225806451612903,0.612903225806452,0.129032258064516,0.129032258064516
"162","LOC111099490",5.5,72,33,32,29,6,13.0909090909091,6,5.81818181818182,5.27272727272727,1.09090909090909
"163","LOC111099492",150.5,19,68,NA,NA,NA,0.12624584717608,0.451827242524917,NA,NA,NA
"164","LOC111099495",79,79,83,82,82,86,1,1.05063291139241,1.0379746835443,1.0379746835443,1.08860759493671
"165","LOC111099496",27,18,21,4,14,50,0.666666666666667,0.777777777777778,0.148148148148148,0.518518518518518,1.85185185185185
"166","LOC111099500",30,49,58,54,69,56,1.63333333333333,1.93333333333333,1.8,2.3,1.86666666666667
"167","LOC111099502",8,16,15,22,32,25,2,1.875,2.75,4,3.125
"168","LOC111099506",46,57.5,102,155,NA,NA,1.25,2.21739130434783,3.3695652173913,NA,NA
"169","LOC111099509",17,105,23,74,NA,NA,6.17647058823529,1.35294117647059,4.35294117647059,NA,NA
"170","LOC111099511",22,226,NA,NA,NA,NA,10.2727272727273,NA,NA,NA,NA
"171","LOC111099517",9,12,21,18,35,45,1.33333333333333,2.33333333333333,2,3.88888888888889,5
"172","LOC111099519",13,22.5,22.5,19.5,18.5,15.5,1.73076923076923,1.73076923076923,1.5,1.42307692307692,1.19230769230769
"173","LOC111099521",22,22,36,30,30,29,1,1.63636363636364,1.36363636363636,1.36363636363636,1.31818181818182
"174","LOC111099522",32,16,38,87,NA,NA,0.5,1.1875,2.71875,NA,NA
"175","LOC111099523",15,12,14,75,NA,NA,0.8,0.933333333333333,5,NA,NA
"176","LOC111099524",13,22,20,32,29,48,1.69230769230769,1.53846153846154,2.46153846153846,2.23076923076923,3.69230769230769
"177","LOC111099529",69,61,75,64,62,97,0.884057971014493,1.08695652173913,0.927536231884058,0.898550724637681,1.40579710144928
"178","LOC111099531",35,21,27,18,16,21,0.6,0.771428571428571,0.514285714285714,0.457142857142857,0.6
"179","LOC111099533",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","LOC111099534",239,133,NA,NA,NA,NA,0.556485355648536,NA,NA,NA,NA
"181","LOC111099539",78,15,80,NA,NA,NA,0.192307692307692,1.02564102564103,NA,NA,NA
"182","LOC111099540",11,56,NA,NA,NA,NA,5.09090909090909,NA,NA,NA,NA
"183","LOC111099544",4,5,3,13,14,26,1.25,0.75,3.25,3.5,6.5
"184","LOC111099545",61,140,11,16,22,61,2.29508196721311,0.180327868852459,0.262295081967213,0.360655737704918,1
"185","LOC111099547",33,140,24,NA,NA,NA,4.24242424242424,0.727272727272727,NA,NA,NA
"186","LOC111099548",47,63,45,51,63,98,1.34042553191489,0.957446808510638,1.08510638297872,1.34042553191489,2.08510638297872
"187","LOC111099552",24,3,7,5,3,24,0.125,0.291666666666667,0.208333333333333,0.125,1
"188","LOC111099555",79,20,34,84,NA,NA,0.253164556962025,0.430379746835443,1.06329113924051,NA,NA
"189","LOC111099557",41.5,34,25,13,21,25,0.819277108433735,0.602409638554217,0.313253012048193,0.506024096385542,0.602409638554217
"190","LOC111099560",177,193,118,NA,NA,NA,1.09039548022599,0.666666666666667,NA,NA,NA
"191","LOC111099561",306,142,127,NA,NA,NA,0.464052287581699,0.415032679738562,NA,NA,NA
"192","LOC111099567",47,42,24.5,50,56.5,23,0.893617021276596,0.521276595744681,1.06382978723404,1.20212765957447,0.48936170212766
"193","LOC111099570",4,4,4,6,NA,NA,1,1,1.5,NA,NA
"194","LOC111099571",28,41,26,34,27,39,1.46428571428571,0.928571428571429,1.21428571428571,0.964285714285714,1.39285714285714
"195","LOC111099572",123,78,45,63,46,183,0.634146341463415,0.365853658536585,0.51219512195122,0.373983739837398,1.48780487804878
"196","LOC111099573",14,14,8,38,38,63,1,0.571428571428571,2.71428571428571,2.71428571428571,4.5
"197","LOC111099576",39,86,120,NA,NA,NA,2.20512820512821,3.07692307692308,NA,NA,NA
"198","LOC111099580",94.6666666666667,63.3333333333333,270.333333333333,75.3333333333333,23,23,0.669014084507042,2.8556338028169,0.795774647887324,0.242957746478873,0.242957746478873
"199","LOC111099582",14,27,17,11,45,57,1.92857142857143,1.21428571428571,0.785714285714286,3.21428571428571,4.07142857142857
"200","LOC111099584",15,30,14,15,29,53,2,0.933333333333333,1,1.93333333333333,3.53333333333333
"201","LOC111099585",42,24,26,19,31,46,0.571428571428571,0.619047619047619,0.452380952380952,0.738095238095238,1.0952380952381
"202","LOC111099589",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","LOC111099593",30,29,26,45,39,37,0.966666666666667,0.866666666666667,1.5,1.3,1.23333333333333
"204","LOC111099594",45,34,33,20,25,29,0.755555555555556,0.733333333333333,0.444444444444444,0.555555555555556,0.644444444444444
"205","LOC111099597",4,154,NA,NA,NA,NA,38.5,NA,NA,NA,NA
"206","LOC111099598",24,34,9,30,37,53,1.41666666666667,0.375,1.25,1.54166666666667,2.20833333333333
"207","LOC111099600",28.3333333333333,28,69,110,36,38,0.988235294117647,2.43529411764706,3.88235294117647,1.27058823529412,1.34117647058824
"208","LOC111099601",10,59.5,6,NA,NA,NA,5.95,0.6,NA,NA,NA
"209","LOC111099603",22.7692307692308,20.6923076923077,28.3846153846154,15.6923076923077,23.8461538461538,64.1538461538462,0.908783783783784,1.24662162162162,0.689189189189189,1.0472972972973,2.81756756756757
"210","LOC111099604",32,37,303,35,57,36,1.15625,9.46875,1.09375,1.78125,1.125
"211","LOC111099605",81,72,99,53,50,93,0.888888888888889,1.22222222222222,0.654320987654321,0.617283950617284,1.14814814814815
"212","LOC111099610",89.5,33.5,33,46,49.1666666666667,42.6666666666667,0.374301675977654,0.368715083798883,0.513966480446927,0.549348230912477,0.476722532588454
"213","LOC111099611",176,151,192,NA,NA,NA,0.857954545454545,1.09090909090909,NA,NA,NA
"214","LOC111099612",22.3333333333333,21,21,36.3333333333333,40,35.3333333333333,0.940298507462687,0.940298507462687,1.62686567164179,1.7910447761194,1.58208955223881
"215","LOC111099613",9,24,19,28,22,55,2.66666666666667,2.11111111111111,3.11111111111111,2.44444444444444,6.11111111111111
"216","LOC111099614",15,16,10,10.5,11.5,11,1.06666666666667,0.666666666666667,0.7,0.766666666666667,0.733333333333333
"217","LOC111099615",34,102,14,25,133,436.333333333333,3,0.411764705882353,0.735294117647059,3.91176470588235,12.8333333333333
"218","LOC111099617",10,10,5,8,13,7,1,0.5,0.8,1.3,0.7
"219","LOC111099622",13,37,54,25,19,20,2.84615384615385,4.15384615384615,1.92307692307692,1.46153846153846,1.53846153846154
"220","LOC111099623",28,12,29,22,49,27,0.428571428571429,1.03571428571429,0.785714285714286,1.75,0.964285714285714
"221","LOC111099624",21,7,15,32,NA,NA,0.333333333333333,0.714285714285714,1.52380952380952,NA,NA
"222","LOC111099625",6,3,3,17,10,1,0.5,0.5,2.83333333333333,1.66666666666667,0.166666666666667
"223","LOC111099626",16,39,34,2,8,21,2.4375,2.125,0.125,0.5,1.3125
"224","LOC111099628",16,219,NA,NA,NA,NA,13.6875,NA,NA,NA,NA
"225","LOC111099631",36,30,74.5,NA,NA,NA,0.833333333333333,2.06944444444444,NA,NA,NA
"226","LOC111099633",49,32,8,18,8,4,0.653061224489796,0.163265306122449,0.36734693877551,0.163265306122449,0.0816326530612245
"227","LOC111099637",458,143,NA,NA,NA,NA,0.312227074235808,NA,NA,NA,NA
"228","LOC111099638",27,126,42,NA,NA,NA,4.66666666666667,1.55555555555556,NA,NA,NA
"229","LOC111099639",39.75,123.75,14,NA,NA,NA,3.11320754716981,0.352201257861635,NA,NA,NA
"230","LOC111099642",4,14,29,102,NA,NA,3.5,7.25,25.5,NA,NA
"231","LOC111099643",42,79,18,33,63,NA,1.88095238095238,0.428571428571429,0.785714285714286,1.5,NA
"232","LOC111099645",16,29,114,NA,NA,NA,1.8125,7.125,NA,NA,NA
"233","LOC111099648",9.5,2,9,33,27,19,0.210526315789474,0.947368421052632,3.47368421052632,2.84210526315789,2
"234","LOC111099652",86,63,22,33,32,NA,0.732558139534884,0.255813953488372,0.383720930232558,0.372093023255814,NA
"235","LOC111099654",61,191,NA,NA,NA,NA,3.13114754098361,NA,NA,NA,NA
"236","LOC111099655",39.6666666666667,47.3333333333333,42.5,31,30,31,1.19327731092437,1.07142857142857,0.781512605042017,0.756302521008403,0.781512605042017
"237","LOC111099656",59,202,NA,NA,NA,NA,3.42372881355932,NA,NA,NA,NA
"238","LOC111099657",31,22,22,62,90,106,0.709677419354839,0.709677419354839,2,2.90322580645161,3.41935483870968
"239","LOC111099658",183,109,92,NA,NA,NA,0.595628415300546,0.502732240437158,NA,NA,NA
"240","LOC111099659",26,83,48,16,360,NA,3.19230769230769,1.84615384615385,0.615384615384615,13.8461538461538,NA
"241","LOC111099660",28,8,25,7,4,6,0.285714285714286,0.892857142857143,0.25,0.142857142857143,0.214285714285714
"242","LOC111099664",37,74,59,34,34,91,2,1.59459459459459,0.918918918918919,0.918918918918919,2.45945945945946
"243","LOC111099666",28,27,51,73,24,45,0.964285714285714,1.82142857142857,2.60714285714286,0.857142857142857,1.60714285714286
"244","LOC111099669",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","LOC111099670",8,10,20,5,5,2,1.25,2.5,0.625,0.625,0.25
"246","LOC111099675",36.5,22.5,10,17,25,NA,0.616438356164384,0.273972602739726,0.465753424657534,0.684931506849315,NA
"247","LOC111099676",339,278,184,495,NA,NA,0.820058997050148,0.542772861356932,1.46017699115044,NA,NA
"248","LOC111099677",24,92,NA,NA,NA,NA,3.83333333333333,NA,NA,NA,NA
"249","LOC111099679",119,140,91,307,NA,NA,1.17647058823529,0.764705882352941,2.57983193277311,NA,NA
"250","LOC111099680",298,333,227,477,NA,NA,1.11744966442953,0.761744966442953,1.6006711409396,NA,NA
"251","LOC111099681",207,236,227,274,231,427,1.14009661835749,1.09661835748792,1.32367149758454,1.11594202898551,2.06280193236715
