gene_name,females_controls_predom_isoform,females_exposed_predom_isoform,males_controls_predom_isoform,males_exposed_predom_isoform
ATP6,gene-ATP6,gene-ATP6,gene-ATP6,gene-ATP6
COX1,gene-COX1,gene-COX1,gene-COX1,gene-COX1
COX2,gene-COX2,gene-COX2,gene-COX2,gene-COX2
COX3,gene-COX3,gene-COX3,gene-COX3,gene-COX3
CYTB,gene-CYTB,gene-CYTB,gene-CYTB,gene-CYTB
LOC111099029,rna-XM_022458270.1,rna-XM_022458270.1,rna-XM_022458270.1,rna-XM_022458270.1
LOC111099030,rna-XM_022430679.1,rna-XM_022430679.1,rna-XM_022430679.1,rna-XM_022430679.1
LOC111099031,rna-XM_022430340.1,rna-XM_022430340.1,rna-XM_022430340.1,rna-XM_022430340.1
LOC111099032,rna-XM_022430343.1,rna-XM_022430343.1,rna-XM_022430343.1,rna-XM_022430343.1
LOC111099033,rna-XM_022430347.1,rna-XM_022430347.1,rna-XM_022430347.1,rna-XM_022430347.1
LOC111099034,rna-XM_022430344.1,rna-XM_022430344.1,rna-XM_022430344.1,rna-XM_022430344.1
LOC111099035,rna-XM_022430345.1,rna-XM_022430346.1,rna-XM_022430345.1,rna-XM_022430345.1
LOC111099036,rna-XM_022430348.1,rna-XM_022430348.1,rna-XM_022430348.1,rna-XM_022430348.1
LOC111099037,rna-XM_022430350.1,rna-XM_022430350.1,rna-XM_022430350.1,rna-XM_022430350.1
LOC111099038,rna-XR_002633618.1,rna-XR_002633618.1,rna-XR_002633618.1,rna-XR_002633618.1
LOC111099039,rna-XM_022430351.1,rna-XM_022430351.1,rna-XM_022430351.1,rna-XM_022430351.1
LOC111099040,rna-XM_022430369.1,rna-XM_022430378.1,rna-XM_022430378.1,rna-XM_022430378.1
LOC111099041,rna-XM_022430360.1,rna-XM_022430360.1,rna-XM_022430360.1,rna-XM_022430360.1
LOC111099042,rna-XR_002633619.1,rna-XR_002633619.1,rna-XR_002633619.1,rna-XR_002633619.1
LOC111099043,rna-XM_022430379.1,rna-XM_022430379.1,rna-XM_022430379.1,rna-XM_022430379.1
LOC111099044,rna-XM_022430382.1,rna-XM_022430382.1,rna-XM_022430382.1,rna-XM_022430382.1
LOC111099045,rna-XM_022430383.1,rna-XM_022430383.1,rna-XM_022430381.1,rna-XM_022430381.1
LOC111099046,rna-XM_022430424.1,rna-XM_022430424.1,rna-XM_022430424.1,rna-XM_022430424.1
LOC111099047,rna-XM_022430386.1,rna-XM_022430390.1,rna-XM_022430390.1,rna-XM_022430390.1
LOC111099048,rna-XM_022430391.1,rna-XM_022430391.1,rna-XM_022430391.1,rna-XM_022430391.1
LOC111099049,rna-XM_022430403.1,rna-XM_022430403.1,rna-XM_022430403.1,rna-XM_022430403.1
LOC111099050,rna-XM_022430392.1,rna-XM_022430392.1,rna-XM_022430392.1,rna-XM_022430392.1
LOC111099051,rna-XR_002633621.1,rna-XR_002633621.1,rna-XR_002633621.1,rna-XR_002633621.1
LOC111099052,rna-XM_022430393.1,rna-XM_022430393.1,rna-XM_022430393.1,rna-XM_022430393.1
LOC111099053,rna-XM_022430394.1,rna-XM_022430394.1,rna-XM_022430394.1,rna-XM_022430394.1
LOC111099054,rna-XM_022430396.1,rna-XM_022430396.1,rna-XM_022430396.1,rna-XM_022430396.1
LOC111099055,rna-XM_022430397.1,rna-XM_022430397.1,rna-XM_022430397.1,rna-XM_022430397.1
LOC111099056,rna-XM_022430398.1,rna-XM_022430398.1,rna-XM_022430399.1,rna-XM_022430399.1
LOC111099057,rna-XM_022430401.1,rna-XM_022430401.1,rna-XM_022430401.1,rna-XM_022430401.1
LOC111099058,rna-XM_022430402.1,rna-XM_022430402.1,rna-XM_022430402.1,rna-XM_022430402.1
LOC111099059,rna-XM_022430404.1,rna-XM_022430404.1,rna-XM_022430404.1,rna-XM_022430404.1
LOC111099060,rna-XM_022430407.1,rna-XM_022430407.1,rna-XM_022430407.1,rna-XM_022430407.1
LOC111099061,rna-XM_022430409.1,rna-XM_022430409.1,rna-XM_022430409.1,rna-XM_022430409.1
LOC111099062,rna-XM_022430410.1,rna-XM_022430410.1,rna-XM_022430410.1,rna-XM_022430410.1
LOC111099063,rna-XM_022430411.1,rna-XM_022430411.1,rna-XM_022430411.1,rna-XM_022430411.1
LOC111099064,rna-XM_022430414.1,rna-XM_022430414.1,rna-XM_022430414.1,rna-XM_022430414.1
LOC111099065,rna-XR_002633622.1,rna-XR_002633622.1,rna-XR_002633622.1,rna-XR_002633622.1
LOC111099066,rna-XM_022430413.1,rna-XM_022430413.1,rna-XM_022430413.1,rna-XM_022430413.1
LOC111099067,rna-XM_022430415.1,rna-XM_022430415.1,rna-XM_022430415.1,rna-XM_022430415.1
LOC111099068,rna-XM_022430416.1,rna-XM_022430416.1,rna-XM_022430416.1,rna-XM_022430416.1
LOC111099069,rna-XM_022430418.1,rna-XM_022430418.1,rna-XM_022430418.1,rna-XM_022430418.1
LOC111099070,rna-XM_022430419.1,rna-XM_022430419.1,rna-XM_022430419.1,rna-XM_022430419.1
LOC111099071,rna-XM_022430428.1,rna-XM_022430428.1,rna-XM_022430428.1,rna-XM_022430428.1
LOC111099072,rna-XM_022430425.1,rna-XM_022430425.1,rna-XM_022430425.1,rna-XM_022430425.1
LOC111099073,rna-XM_022430426.1,rna-XM_022430426.1,rna-XM_022430426.1,rna-XM_022430426.1
LOC111099074,rna-XM_022430427.1,rna-XM_022430427.1,rna-XM_022430427.1,rna-XM_022430427.1
LOC111099075,rna-XR_002633624.1,rna-XR_002633624.1,rna-XR_002633624.1,rna-XR_002633624.1
LOC111099076,rna-XM_022430429.1,rna-XM_022430429.1,rna-XM_022430429.1,rna-XM_022430429.1
LOC111099077,rna-XM_022430431.1,rna-XM_022430431.1,rna-XM_022430431.1,rna-XM_022430431.1
LOC111099078,rna-XM_022430432.1,rna-XM_022430432.1,rna-XM_022430432.1,rna-XM_022430432.1
LOC111099079,rna-XM_022430440.1,rna-XM_022430440.1,rna-XM_022430440.1,rna-XM_022430440.1
LOC111099080,rna-XM_022430437.1,rna-XM_022430437.1,rna-XM_022430437.1,rna-XM_022430437.1
LOC111099081,rna-XM_022430439.1,rna-XM_022430439.1,rna-XM_022430438.1,rna-XM_022430438.1
LOC111099082,rna-XM_022430441.1,rna-XM_022430441.1,rna-XM_022430441.1,rna-XM_022430441.1
LOC111099083,rna-XM_022430442.1,rna-XM_022430442.1,rna-XM_022430442.1,rna-XM_022430442.1
LOC111099084,rna-XR_002633625.1,rna-XM_022430443.1,rna-XM_022430443.1,rna-XR_002633625.1
LOC111099085,rna-XR_002633626.1,rna-XR_002633626.1,rna-XR_002633626.1,rna-XR_002633626.1
LOC111099086,rna-XR_002633627.1,rna-XR_002633627.1,rna-XR_002633627.1,rna-XR_002633627.1
LOC111099087,rna-XM_022430445.1,rna-XM_022430445.1,rna-XM_022430445.1,rna-XM_022430445.1
LOC111099088,rna-XM_022430450.1,rna-XM_022430450.1,rna-XM_022430450.1,rna-XM_022430450.1
LOC111099089,rna-XR_002633628.1,rna-XR_002633628.1,rna-XR_002633628.1,rna-XR_002633628.1
LOC111099090,rna-XM_022430449.1,rna-XM_022430449.1,rna-XM_022430449.1,rna-XM_022430449.1
LOC111099091,rna-XM_022430451.1,rna-XM_022430451.1,rna-XM_022430451.1,rna-XM_022430451.1
LOC111099092,rna-XM_022430452.1,rna-XM_022430452.1,rna-XM_022430452.1,rna-XM_022430452.1
LOC111099093,rna-XM_022430453.1,rna-XM_022430453.1,rna-XM_022430453.1,rna-XM_022430453.1
LOC111099094,rna-XR_002633629.1,rna-XR_002633629.1,rna-XR_002633629.1,rna-XR_002633629.1
LOC111099095,rna-XM_022430454.1,rna-XM_022430454.1,rna-XM_022430455.1,rna-XM_022430455.1
LOC111099096,rna-XM_022430456.1,rna-XM_022430456.1,rna-XM_022430456.1,rna-XM_022430456.1
LOC111099097,rna-XM_022430457.1,rna-XM_022430457.1,rna-XM_022430459.1,rna-XM_022430459.1
LOC111099098,rna-XM_022430461.1,rna-XM_022430461.1,rna-XM_022430461.1,rna-XM_022430461.1
LOC111099099,rna-XM_022430462.1,rna-XM_022430462.1,rna-XM_022430464.1,rna-XM_022430462.1
LOC111099100,gene-LOC111099100,gene-LOC111099100,gene-LOC111099100,gene-LOC111099100
LOC111099101,rna-XM_022430465.1,rna-XM_022430466.1,rna-XM_022430465.1,rna-XM_022430465.1
LOC111099102,rna-XM_022430470.1,rna-XM_022430470.1,rna-XM_022430470.1,rna-XM_022430470.1
LOC111099103,rna-XM_022430468.1,rna-XM_022430468.1,rna-XM_022430468.1,rna-XM_022430468.1
LOC111099104,rna-XM_022430471.1,rna-XM_022430471.1,rna-XM_022430471.1,rna-XM_022430471.1
LOC111099105,rna-XM_022430472.1,rna-XM_022430472.1,rna-XM_022430472.1,rna-XM_022430472.1
LOC111099106,rna-XM_022430474.1,rna-XM_022430475.1,rna-XM_022430473.1,rna-XM_022430473.1
LOC111099107,rna-XM_022430477.1,rna-XM_022430477.1,rna-XM_022430477.1,rna-XM_022430477.1
LOC111099108,rna-XM_022430478.1,rna-XM_022430478.1,rna-XM_022430478.1,rna-XM_022430478.1
LOC111099109,rna-XM_022430482.1,rna-XM_022430482.1,rna-XM_022430482.1,rna-XM_022430482.1
LOC111099110,rna-XM_022430479.1,rna-XM_022430479.1,rna-XM_022430479.1,rna-XM_022430479.1
LOC111099111,rna-XM_022430480.1,rna-XM_022430480.1,rna-XM_022430480.1,rna-XM_022430480.1
LOC111099112,rna-XM_022430481.1,rna-XM_022430481.1,rna-XM_022430481.1,rna-XM_022430481.1
LOC111099113,rna-XR_002633630.1,rna-XR_002633630.1,rna-XR_002633630.1,rna-XR_002633630.1
LOC111099114,rna-XR_002633631.1,rna-XR_002633631.1,rna-XR_002633631.1,rna-XR_002633631.1
LOC111099115,rna-XM_022430483.1,rna-XM_022430483.1,rna-XM_022430483.1,rna-XM_022430483.1
LOC111099116,rna-XM_022430484.1,rna-XM_022430484.1,rna-XM_022430484.1,rna-XM_022430484.1
LOC111099117,rna-XM_022430485.1,rna-XM_022430485.1,rna-XM_022430485.1,rna-XM_022430485.1
LOC111099118,rna-XM_022430486.1,rna-XM_022430486.1,rna-XM_022430486.1,rna-XM_022430486.1
LOC111099119,rna-XM_022430487.1,rna-XM_022430487.1,rna-XM_022430487.1,rna-XM_022430487.1
LOC111099120,rna-XM_022430488.1,rna-XM_022430488.1,rna-XM_022430488.1,rna-XM_022430488.1
LOC111099121,rna-XM_022430492.1,rna-XM_022430492.1,rna-XM_022430492.1,rna-XM_022430492.1
LOC111099122,rna-XM_022430490.1,rna-XM_022430490.1,rna-XM_022430489.1,rna-XM_022430489.1
LOC111099123,rna-XM_022430493.1,rna-XM_022430493.1,rna-XM_022430493.1,rna-XM_022430493.1
LOC111099124,rna-XM_022430494.1,rna-XM_022430494.1,rna-XM_022430494.1,rna-XM_022430494.1
LOC111099125,rna-XM_022430498.1,rna-XM_022430496.1,rna-XM_022430497.1,rna-XM_022430498.1
LOC111099126,rna-XM_022430500.1,rna-XM_022430500.1,rna-XM_022430500.1,rna-XM_022430500.1
LOC111099127,rna-XM_022430503.1,rna-XM_022430503.1,rna-XM_022430503.1,rna-XM_022430503.1
LOC111099128,rna-XM_022430506.1,rna-XM_022430506.1,rna-XM_022430506.1,rna-XM_022430506.1
LOC111099129,rna-XR_002633633.1,rna-XR_002633633.1,rna-XR_002633632.1,rna-XR_002633633.1
LOC111099130,rna-XM_022430507.1,rna-XM_022430507.1,rna-XM_022430507.1,rna-XM_022430507.1
LOC111099131,rna-XM_022430508.1,rna-XM_022430508.1,rna-XM_022430508.1,rna-XM_022430508.1
LOC111099132,rna-XR_002633634.1,rna-XR_002633634.1,rna-XR_002633634.1,rna-XR_002633634.1
LOC111099133,rna-XM_022430511.1,rna-XM_022430511.1,rna-XM_022430511.1,rna-XM_022430511.1
LOC111099134,rna-XM_022430520.1,rna-XM_022430520.1,rna-XM_022430520.1,rna-XM_022430520.1
LOC111099135,rna-XM_022430519.1,rna-XM_022430517.1,rna-XM_022430517.1,rna-XM_022430517.1
LOC111099136,rna-XR_002633642.1,rna-XR_002633642.1,rna-XR_002633642.1,rna-XR_002633642.1
LOC111099137,rna-XM_022430521.1,rna-XM_022430521.1,rna-XM_022430521.1,rna-XM_022430521.1
LOC111099138,rna-XM_022430522.1,rna-XM_022430522.1,rna-XM_022430522.1,rna-XM_022430522.1
LOC111099139,rna-XM_022430524.1,rna-XM_022430524.1,rna-XM_022430524.1,rna-XM_022430524.1
LOC111099140,rna-XM_022430525.1,rna-XM_022430525.1,rna-XM_022430525.1,rna-XM_022430525.1
LOC111099141,rna-XM_022430526.1,rna-XM_022430526.1,rna-XM_022430526.1,rna-XM_022430526.1
LOC111099142,rna-XR_002633643.1,rna-XR_002633643.1,rna-XR_002633643.1,rna-XR_002633643.1
LOC111099143,rna-XM_022430529.1,rna-XM_022430529.1,rna-XM_022430529.1,rna-XM_022430529.1
LOC111099144,rna-XR_002633644.1,rna-XR_002633644.1,rna-XR_002633644.1,rna-XR_002633644.1
LOC111099145,rna-XR_002633645.1,rna-XR_002633645.1,rna-XR_002633645.1,rna-XR_002633645.1
LOC111099146,rna-XM_022430528.1,rna-XM_022430528.1,rna-XM_022430528.1,rna-XM_022430528.1
LOC111099147,rna-XM_022430531.1,rna-XM_022430531.1,rna-XM_022430531.1,rna-XM_022430531.1
LOC111099148,rna-XM_022430533.1,rna-XM_022430533.1,rna-XM_022430533.1,rna-XM_022430533.1
LOC111099149,rna-XR_002633647.1,rna-XR_002633647.1,rna-XR_002633647.1,rna-XR_002633647.1
LOC111099150,rna-XM_022430534.1,rna-XM_022430534.1,rna-XM_022430535.1,rna-XM_022430535.1
LOC111099151,rna-XM_022430542.1,rna-XM_022430542.1,rna-XM_022430542.1,rna-XM_022430542.1
LOC111099152,rna-XM_022430540.1,rna-XM_022430539.1,rna-XM_022430540.1,rna-XM_022430540.1
LOC111099153,rna-XM_022430541.1,rna-XM_022430541.1,rna-XM_022430541.1,rna-XM_022430541.1
LOC111099154,rna-XM_022430543.1,rna-XM_022430543.1,rna-XM_022430543.1,rna-XM_022430543.1
LOC111099155,rna-XM_022430544.1,rna-XM_022430544.1,rna-XM_022430544.1,rna-XM_022430544.1
LOC111099156,rna-XM_022430545.1,rna-XM_022430545.1,rna-XM_022430545.1,rna-XM_022430545.1
LOC111099157,rna-XM_022430556.1,rna-XM_022430550.1,rna-XM_022430552.1,rna-XM_022430552.1
LOC111099158,rna-XM_022430565.1,rna-XM_022430565.1,rna-XM_022430565.1,rna-XM_022430565.1
LOC111099159,rna-XR_002633648.1,rna-XR_002633648.1,rna-XR_002633648.1,rna-XR_002633648.1
LOC111099160,rna-XR_002633649.1,rna-XR_002633649.1,rna-XR_002633649.1,rna-XR_002633649.1
LOC111099161,rna-XM_022430566.1,rna-XM_022430566.1,rna-XM_022430566.1,rna-XM_022430566.1
LOC111099162,rna-XM_022430568.1,rna-XM_022430568.1,rna-XM_022430568.1,rna-XM_022430568.1
LOC111099163,rna-XM_022430569.1,rna-XM_022430569.1,rna-XM_022430569.1,rna-XM_022430569.1
LOC111099164,rna-XM_022430570.1,rna-XM_022430570.1,rna-XM_022430570.1,rna-XM_022430570.1
LOC111099165,rna-XM_022430573.1,rna-XM_022430573.1,rna-XM_022430573.1,rna-XM_022430573.1
LOC111099166,rna-XM_022430571.1,rna-XM_022430571.1,rna-XM_022430571.1,rna-XM_022430571.1
LOC111099167,rna-XR_002633650.1,rna-XR_002633650.1,rna-XR_002633650.1,rna-XR_002633650.1
LOC111099168,rna-XM_022430572.1,rna-XM_022430572.1,rna-XM_022430572.1,rna-XM_022430572.1
LOC111099169,rna-XM_022430574.1,rna-XM_022430574.1,rna-XM_022430574.1,rna-XM_022430574.1
LOC111099170,rna-XM_022430575.1,rna-XM_022430575.1,rna-XM_022430575.1,rna-XM_022430575.1
LOC111099171,rna-XM_022430576.1,rna-XM_022430576.1,rna-XM_022430581.1,rna-XM_022430577.1
LOC111099172,rna-XM_022430582.1,rna-XM_022430582.1,rna-XM_022430582.1,rna-XM_022430582.1
LOC111099173,rna-XM_022430583.1,rna-XM_022430583.1,rna-XM_022430583.1,rna-XM_022430583.1
LOC111099174,rna-XM_022430594.1,rna-XM_022430594.1,rna-XM_022430586.1,rna-XM_022430586.1
LOC111099175,rna-XM_022430584.1,rna-XM_022430584.1,rna-XM_022430584.1,rna-XM_022430584.1
LOC111099176,rna-XM_022430585.1,rna-XM_022430585.1,rna-XM_022430585.1,rna-XM_022430585.1
LOC111099177,rna-XR_002633652.1,rna-XR_002633652.1,rna-XR_002633652.1,rna-XR_002633652.1
LOC111099178,rna-XM_022430587.1,rna-XM_022430587.1,rna-XM_022430587.1,rna-XM_022430587.1
LOC111099179,rna-XM_022430588.1,rna-XM_022430588.1,rna-XM_022430588.1,rna-XM_022430588.1
LOC111099180,rna-XM_022430589.1,rna-XM_022430589.1,rna-XM_022430589.1,rna-XM_022430589.1
LOC111099181,rna-XM_022430590.1,rna-XM_022430591.1,rna-XM_022430590.1,rna-XM_022430590.1
LOC111099182,rna-XM_022430592.1,rna-XM_022430592.1,rna-XM_022430592.1,rna-XM_022430592.1
LOC111099183,rna-XM_022430593.1,rna-XM_022430593.1,rna-XM_022430593.1,rna-XM_022430593.1
LOC111099184,rna-XM_022430595.1,rna-XM_022430595.1,rna-XM_022430595.1,rna-XM_022430595.1
LOC111099185,rna-XM_022430596.1,rna-XM_022430596.1,rna-XM_022430596.1,rna-XM_022430596.1
LOC111099186,rna-XM_022430597.1,rna-XM_022430597.1,rna-XM_022430597.1,rna-XM_022430597.1
LOC111099187,rna-XR_002633653.1,rna-XR_002633653.1,rna-XR_002633653.1,rna-XR_002633653.1
LOC111099188,rna-XM_022430598.1,rna-XM_022430598.1,rna-XM_022430598.1,rna-XM_022430598.1
LOC111099189,rna-XR_002633654.1,rna-XR_002633654.1,rna-XR_002633654.1,rna-XR_002633654.1
LOC111099190,rna-XM_022430599.1,rna-XM_022430599.1,rna-XM_022430599.1,rna-XM_022430599.1
LOC111099191,rna-XM_022430603.1,rna-XM_022430603.1,rna-XM_022430603.1,rna-XM_022430603.1
LOC111099192,rna-XM_022430601.1,rna-XM_022430601.1,rna-XM_022430601.1,rna-XM_022430601.1
LOC111099193,rna-XM_022430602.1,rna-XM_022430602.1,rna-XM_022430602.1,rna-XM_022430602.1
LOC111099194,rna-XM_022430620.1,rna-XM_022430620.1,rna-XM_022430607.1,rna-XM_022430605.1
LOC111099195,rna-XM_022430618.1,rna-XM_022430618.1,rna-XM_022430618.1,rna-XM_022430618.1
LOC111099196,rna-XM_022430627.1,rna-XM_022430627.1,rna-XM_022430623.1,rna-XM_022430623.1
LOC111099197,rna-XM_022430630.1,rna-XM_022430630.1,rna-XM_022430630.1,rna-XM_022430630.1
LOC111099198,rna-XR_002633658.1,rna-XR_002633659.1,rna-XR_002633659.1,rna-XR_002633659.1
LOC111099199,rna-XM_022430628.1,rna-XM_022430628.1,rna-XM_022430628.1,rna-XM_022430628.1
LOC111099200,rna-XM_022430631.1,rna-XM_022430631.1,rna-XM_022430631.1,rna-XM_022430631.1
LOC111099201,rna-XM_022430632.1,rna-XM_022430632.1,rna-XM_022430632.1,rna-XM_022430632.1
LOC111099202,rna-XM_022430633.1,rna-XM_022430633.1,rna-XM_022430633.1,rna-XM_022430633.1
LOC111099203,rna-XM_022430634.1,rna-XM_022430634.1,rna-XM_022430634.1,rna-XM_022430634.1
LOC111099204,rna-XM_022430635.1,rna-XM_022430635.1,rna-XM_022430635.1,rna-XM_022430635.1
LOC111099205,rna-XM_022430636.1,rna-XM_022430636.1,rna-XM_022430636.1,rna-XM_022430636.1
LOC111099206,rna-XM_022430637.1,rna-XM_022430637.1,rna-XM_022430638.1,rna-XM_022430638.1
LOC111099207,rna-XM_022430642.1,rna-XM_022430642.1,rna-XM_022430642.1,rna-XM_022430642.1
LOC111099208,rna-XR_002633660.1,rna-XR_002633660.1,rna-XR_002633660.1,rna-XR_002633660.1
LOC111099209,rna-XM_022430641.1,rna-XM_022430641.1,rna-XM_022430641.1,rna-XM_022430641.1
LOC111099210,rna-XM_022430643.1,rna-XM_022430643.1,rna-XM_022430643.1,rna-XM_022430643.1
LOC111099211,rna-XM_022430644.1,rna-XM_022430644.1,rna-XM_022430644.1,rna-XM_022430644.1
LOC111099212,rna-XM_022430645.1,rna-XM_022430645.1,rna-XM_022430645.1,rna-XM_022430645.1
LOC111099213,rna-XM_022430646.1,rna-XM_022430646.1,rna-XM_022430646.1,rna-XM_022430646.1
LOC111099214,rna-XM_022430647.1,rna-XM_022430647.1,rna-XM_022430647.1,rna-XM_022430647.1
LOC111099215,rna-XM_022430648.1,rna-XM_022430648.1,rna-XM_022430648.1,rna-XM_022430648.1
LOC111099216,rna-XM_022430649.1,rna-XM_022430649.1,rna-XM_022430649.1,rna-XM_022430649.1
LOC111099217,rna-XM_022430671.1,rna-XM_022430653.1,rna-XM_022430663.1,rna-XM_022430663.1
LOC111099218,rna-XM_022430650.1,rna-XM_022430650.1,rna-XM_022430650.1,rna-XM_022430650.1
LOC111099219,rna-XM_022430651.1,rna-XM_022430651.1,rna-XM_022430651.1,rna-XM_022430651.1
LOC111099220,rna-XM_022430654.1,rna-XM_022430654.1,rna-XM_022430652.1,rna-XM_022430652.1
LOC111099221,rna-XM_022430655.1,rna-XM_022430655.1,rna-XM_022430655.1,rna-XM_022430655.1
LOC111099222,rna-XM_022430656.1,rna-XM_022430656.1,rna-XM_022430660.1,rna-XM_022430660.1
LOC111099223,rna-XR_002633661.1,rna-XR_002633661.1,rna-XR_002633661.1,rna-XR_002633661.1
LOC111099224,rna-XM_022430664.1,rna-XM_022430664.1,rna-XM_022430664.1,rna-XM_022430664.1
LOC111099225,rna-XM_022430665.1,rna-XM_022430665.1,rna-XM_022430665.1,rna-XM_022430665.1
LOC111099226,rna-XM_022430666.1,rna-XM_022430666.1,rna-XM_022430666.1,rna-XM_022430666.1
LOC111099227,rna-XM_022430667.1,rna-XM_022430668.1,rna-XM_022430667.1,rna-XM_022430667.1
LOC111099228,rna-XM_022430670.1,rna-XM_022430670.1,rna-XM_022430670.1,rna-XM_022430670.1
LOC111099229,rna-XM_022430672.1,rna-XM_022430672.1,rna-XM_022430672.1,rna-XM_022430672.1
LOC111099230,rna-XM_022430674.1,rna-XM_022430673.1,rna-XM_022430673.1,rna-XM_022430673.1
LOC111099246,rna-XM_022430676.1,rna-XM_022430676.1,rna-XM_022430676.1,rna-XM_022430676.1
LOC111099262,rna-XM_022430677.1,rna-XM_022430677.1,rna-XM_022430677.1,rna-XM_022430677.1
LOC111099278,rna-XR_002633662.1,rna-XR_002633662.1,rna-XR_002633662.1,rna-XR_002633662.1
LOC111099289,rna-XR_002633663.1,rna-XR_002633663.1,rna-XR_002633663.1,rna-XR_002633663.1
LOC111099300,rna-XM_022430678.1,rna-XM_022430678.1,rna-XM_022430678.1,rna-XM_022430678.1
LOC111099316,rna-XM_022430684.1,rna-XM_022430684.1,rna-XM_022430684.1,rna-XM_022430684.1
LOC111099327,rna-XM_022430681.1,rna-XM_022430681.1,rna-XM_022430681.1,rna-XM_022430681.1
LOC111099343,rna-XM_022430682.1,rna-XM_022430682.1,rna-XM_022430682.1,rna-XM_022430682.1
LOC111099359,rna-XM_022430683.1,rna-XM_022430683.1,rna-XM_022430683.1,rna-XM_022430683.1
LOC111099375,rna-XM_022430686.1,rna-XM_022430686.1,rna-XM_022430685.1,rna-XM_022430685.1
LOC111099408,rna-XR_002633664.1,rna-XR_002633664.1,rna-XR_002633664.1,rna-XR_002633664.1
LOC111099409,rna-XM_022430688.1,rna-XM_022430688.1,rna-XM_022430688.1,rna-XM_022430688.1
LOC111099410,rna-XM_022430691.1,rna-XM_022430691.1,rna-XM_022430691.1,rna-XM_022430691.1
LOC111099411,rna-XR_002633665.1,rna-XR_002633665.1,rna-XR_002633665.1,rna-XR_002633665.1
LOC111099412,rna-XR_002633666.1,rna-XR_002633666.1,rna-XR_002633666.1,rna-XR_002633666.1
LOC111099413,rna-XM_022430690.1,rna-XM_022430690.1,rna-XM_022430690.1,rna-XM_022430690.1
LOC111099414,rna-XM_022430692.1,rna-XM_022430692.1,rna-XM_022430692.1,rna-XM_022430692.1
LOC111099415,rna-XM_022430694.1,rna-XM_022430694.1,rna-XM_022430694.1,rna-XM_022430694.1
LOC111099416,rna-XR_002633667.1,rna-XR_002633667.1,rna-XR_002633667.1,rna-XR_002633667.1
LOC111099417,rna-XM_022430695.1,rna-XM_022430695.1,rna-XM_022430695.1,rna-XM_022430695.1
LOC111099418,rna-XM_022430696.1,rna-XM_022430696.1,rna-XM_022430696.1,rna-XM_022430696.1
LOC111099419,rna-XM_022430697.1,rna-XM_022430697.1,rna-XM_022430697.1,rna-XM_022430697.1
LOC111099420,rna-XM_022430700.1,rna-XM_022430700.1,rna-XM_022430710.1,rna-XM_022430710.1
LOC111099421,rna-XM_022430698.1,rna-XM_022430698.1,rna-XM_022430698.1,rna-XM_022430698.1
LOC111099422,rna-XR_002633668.1,rna-XR_002633668.1,rna-XR_002633668.1,rna-XR_002633668.1
LOC111099423,rna-XM_022430699.1,rna-XM_022430699.1,rna-XM_022430699.1,rna-XM_022430699.1
LOC111099424,rna-XM_022430701.1,rna-XM_022430701.1,rna-XM_022430701.1,rna-XM_022430701.1
LOC111099425,rna-XM_022430702.1,rna-XM_022430702.1,rna-XM_022430702.1,rna-XM_022430702.1
LOC111099426,rna-XM_022430705.1,rna-XM_022430706.1,rna-XM_022430707.1,rna-XM_022430707.1
LOC111099427,rna-XM_022430708.1,rna-XM_022430708.1,rna-XM_022430708.1,rna-XM_022430708.1
LOC111099428,rna-XM_022430711.1,rna-XM_022430711.1,rna-XM_022430711.1,rna-XM_022430711.1
LOC111099429,rna-XM_022430712.1,rna-XM_022430712.1,rna-XM_022430712.1,rna-XM_022430712.1
LOC111099430,rna-XM_022430713.1,rna-XM_022430713.1,rna-XM_022430713.1,rna-XM_022430713.1
LOC111099431,rna-XR_002633669.1,rna-XR_002633669.1,rna-XR_002633669.1,rna-XR_002633669.1
LOC111099432,rna-XM_022430715.1,rna-XM_022430715.1,rna-XM_022430715.1,rna-XM_022430715.1
LOC111099433,rna-XR_002633670.1,rna-XR_002633670.1,rna-XR_002633670.1,rna-XR_002633670.1
LOC111099434,rna-XM_022430717.1,rna-XM_022430717.1,rna-XM_022430717.1,rna-XM_022430717.1
LOC111099435,rna-XR_002633671.1,rna-XR_002633671.1,rna-XR_002633671.1,rna-XR_002633671.1
LOC111099436,rna-XM_022430718.1,rna-XM_022430718.1,rna-XM_022430718.1,rna-XM_022430718.1
LOC111099437,rna-XM_022430719.1,rna-XM_022430719.1,rna-XM_022430719.1,rna-XM_022430719.1
LOC111099438,rna-XM_022430722.1,rna-XM_022430722.1,rna-XM_022430722.1,rna-XM_022430722.1
LOC111099439,rna-XM_022430725.1,rna-XM_022430725.1,rna-XM_022430725.1,rna-XM_022430725.1
LOC111099440,rna-XR_002633672.1,rna-XR_002633672.1,rna-XR_002633672.1,rna-XR_002633672.1
LOC111099441,rna-XR_002633673.1,rna-XR_002633673.1,rna-XR_002633673.1,rna-XR_002633673.1
LOC111099442,rna-XM_022430723.1,rna-XM_022430723.1,rna-XM_022430723.1,rna-XM_022430723.1
LOC111099443,rna-XM_022430724.1,rna-XM_022430724.1,rna-XM_022430726.1,rna-XM_022430726.1
LOC111099444,rna-XR_002633674.1,rna-XR_002633674.1,rna-XR_002633674.1,rna-XR_002633674.1
LOC111099445,rna-XR_002633675.1,rna-XR_002633675.1,rna-XR_002633675.1,rna-XR_002633675.1
