id,feature,fc,pval,qval,chr,strand,start,end,t_name,num_exons,length,gene_id,gene_name,cov.S12M,FPKM.S12M,cov.S13M,FPKM.S13M,cov.S16F,FPKM.S16F,cov.S19F,FPKM.S19F,cov.S22F,FPKM.S22F,cov.S23M,FPKM.S23M,cov.S29F,FPKM.S29F,cov.S31M,FPKM.S31M,cov.S35F,FPKM.S35F,cov.S36F,FPKM.S36F,cov.S39F,FPKM.S39F,cov.S3F,FPKM.S3F,cov.S41F,FPKM.S41F,cov.S44F,FPKM.S44F,cov.S48M,FPKM.S48M,cov.S50F,FPKM.S50F,cov.S52F,FPKM.S52F,cov.S53F,FPKM.S53F,cov.S54F,FPKM.S54F,cov.S59M,FPKM.S59M,cov.S64M,FPKM.S64M,cov.S6M,FPKM.S6M,cov.S76F,FPKM.S76F,cov.S77F,FPKM.S77F,cov.S7M,FPKM.S7M,cov.S9M,FPKM.S9M
10040,transcript,2.92778784289469,0.00100716689415958,0.0206212620299045,NC_035781.1,-,28480081,28493689,rna-XM_022457209.1,23,4761,gene-LOC111117960,LOC111117960,6.2214,5.50579,3.705013,4.507505,0.143562,0.043548,0.231528,0.066821,0.462195,0.115931,7.14924,6.131474,1.8893,0.773059,2.855866,4.310549,0.060984,0.021911,0.247007,0.086808,0.46788,0.134532,0.371916,0.11959,0.51313,0.184128,1.311675,0.415188,12.009246,6.444346,0.430106,0.149387,4.462269,1.714494,0.338431,0.109602,0.673003,0.243276,14.77091,8.153842,2.058916,1.479575,7.515347,5.797091,0.391879,0.105788,0.392211,0.093682,7.050523,7.016364,8.531483,7.294291
10049,transcript,2.21936732702854,0.00243078058392188,0.0394579261923314,NC_035781.1,-,28546628,28547962,rna-XR_002637889.1,3,727,gene-LOC111122361,LOC111122361,6.367988,5.635517,2.850886,3.468377,0.966886,0.293297,0,0,1.092767,0.274095,3.028203,2.597108,0.562743,0.230262,3.29685,4.976155,1.448525,0.520454,0.408732,0.143645,0.253482,0.072885,1.508941,0.485203,1.380889,0.495509,0,0,8.74037,4.690217,0.474553,0.164825,1.589766,0.61082,1.993122,0.64548,2.644429,0.955903,3.973349,2.193369,4.921114,3.536403,11.073254,8.541544,0.422767,0.114126,0.662311,0.158197,7.819858,7.781971,6.41075,5.481096
10065,transcript,10.2942046161949,0.000663562220564518,0.0150752682353572,NC_035781.1,+,28687969,28693376,rna-XM_022462318.1,3,3432,gene-LOC111121167,LOC111121167,4.170688,3.690959,1.917675,2.333036,36.653706,11.118595,7.93313,2.289574,9.337122,2.342002,4.282488,3.672833,10.618443,4.344826,2.999592,4.527484,11.504807,4.133667,7.581877,2.664571,6.816433,1.959969,11.365968,3.654747,8.425117,3.023211,14.290936,4.523543,5.51257,2.95813,7.444493,2.585666,19.900496,7.646172,10.085226,3.266138,12.148456,4.391402,72.916519,40.251399,65.161133,46.825992,2.983618,2.301465,4.346154,1.173249,6.031032,1.440548,3.324738,3.30863,6.041521,5.165411
10090,transcript,67.0125286652148,4.21325418997753e-10,1.48365442438252e-07,NC_035781.1,-,28921772,28948168,rna-XM_022463251.1,5,1097,gene-LOC111121820,LOC111121820,18.415676,16.297431,4.889298,5.948301,0.684594,0.207666,0,0,1.705561,0.427801,7.700739,6.604461,0.483136,0.197688,9.105204,13.74309,0,0,0,0,0,0,1.342403,0.431652,0,0,0.587775,0.18605,13.439394,7.211785,0.355117,0.123341,1.088733,0.418313,0.442131,0.143186,1.908108,0.689739,97.478218,53.809955,84.790466,60.931993,4.396653,3.391433,0,0,0.871923,0.208264,6.910489,6.877008,8.292987,7.09038
10091,transcript,4.01559666813395,0.000437020481489858,0.0110176934167139,NC_035781.1,+,28936259,28950972,rna-XM_022463248.1,3,1333,gene-LOC111121819,LOC111121819,10.748076,9.511789,3.136528,3.815888,0.108027,0.032769,0.244749,0.070637,1.034089,0.259377,4.715629,4.044312,0.323559,0.132393,0.973421,1.469249,2.268567,0.815094,0,0,0.262594,0.075505,0.700352,0.225199,1.640508,0.588669,0.256939,0.081329,6.688859,3.589345,0.864517,0.300269,0.949817,0.364939,0.768555,0.248899,1.037774,0.375133,13.065896,7.21264,2.363653,1.698565,8.608102,6.640007,2.026257,0.54699,0.735184,0.175603,6.253782,6.223483,8.671371,7.413893
10092,transcript,3.26443833315553,0.00171143070298618,0.0304358642911184,NC_035781.1,+,28947426,28950972,rna-XM_022463249.1,3,724,gene-LOC111121819,LOC111121819,5.785738,5.120239,1.282183,1.559899,0,0,0.155041,0.044746,0.608376,0.152597,4.758039,4.080684,0.577565,0.236327,0.603642,0.911117,0,0,0,0,0,0,0,0,0.444459,0.159487,0,0,4.434456,2.379597,0,0,0,0,0,0,0.543021,0.19629,9.913436,5.472418,0.732667,0.526508,3.264518,2.518142,0,0,0,0,5.657746,5.630335,2.504992,2.141731
10093,transcript,8.12298738779076,7.69586718396553e-06,0.000467158395565685,NC_035781.1,+,28953766,28974229,rna-XM_022460306.1,26,6095,gene-LOC111119807,LOC111119807,12.17418,10.773857,4.819004,5.862782,2.693429,0.817029,0.123765,0.03572,4.965466,1.245473,5.363591,4.60003,1.207411,0.494045,4.203894,6.345217,2.417263,0.86852,4.367149,1.534789,0.439048,0.126242,4.288312,1.378914,4.408399,1.58188,2.921575,0.924773,9.696203,5.203132,1.003898,0.34868,2.225716,0.855165,1.634801,0.529436,1.805723,0.65273,28.318474,15.632372,10.827298,7.780696,11.079137,8.546082,1.659487,0.44798,12.439788,2.971317,7.810058,7.772219,2.731555,2.335439
101,transcript,4.20501883074452,0.00235490299258156,0.038521837214812,NC_035780.1,-,625969,660054,rna-XM_022490289.1,15,4106,gene-LOC111138321,LOC111138321,0,0,0,0,0,0,0,0,0,0,0.717159,0.615064,0,0,0,0,2.600427,0.934331,0,0,0,0,0,0,0,0,0,0,2.638603,1.415915,0,0,0,0,0,0,0,0,6.659985,3.676447,2.063817,1.483097,0,0,0,0,0.022005,0.005256,2.496186,2.484092,5.754149,4.919712
10105,transcript,0.280895045239539,0.00201342983756803,0.034522415576186,NC_035781.1,+,29052836,29073318,rna-XM_022463538.1,13,3640,gene-LOC111122016,LOC111122016,3.580267,3.16845,4.974377,6.051808,11.863672,3.598746,4.261565,1.229927,5.080749,1.274389,2.841415,2.436911,9.65778,3.951745,1.42087,2.144614,1.083442,0.38928,6.258561,2.199505,2.348836,0.675375,4.483671,1.441732,4.59143,1.647557,10.739859,3.399513,3.140591,1.685289,5.197215,1.805128,18.263767,7.017308,5.831454,1.888538,7.032084,2.541945,2.11627,1.168224,0.305052,0.219216,4.083361,3.14977,3.393765,0.91615,5.685821,1.358092,4.887555,4.863875,5.429777,4.642379
10107,transcript,0.44437253318411,7.73808292287015e-06,0.000468851947532053,NC_035781.1,-,29073805,29079883,rna-XM_022462096.1,10,2307,gene-LOC111121013,LOC111121013,6.131783,5.426481,5.601496,6.814759,78.820107,23.90942,67.352394,19.438521,82.460548,20.68333,6.691962,5.739294,46.841133,19.16633,3.433446,5.182328,62.040848,22.291222,53.136219,18.674166,83.517555,24.014295,84.637421,27.21531,73.668083,26.43455,58.72226,18.587494,10.49003,5.629111,63.145214,21.931971,48.266251,18.544867,53.406269,17.295819,68.757904,24.854484,12.510405,6.905998,13.291181,9.551288,7.289584,5.622945,76.049522,20.529644,123.000755,29.379457,5.040802,5.01638,6.338034,5.418925
